ZCTA,cancer_25to34,cancer_35to44,cancer_45to54,cancer_55to64,cancer_65to74,cancer_75to84,cancer_85up
ZCTA33012,1,13,35,98,189,277,199
ZCTA33013,2,7,21,60,81,130,106
ZCTA33014,,8,25,58,85,111,61
ZCTA33015,6,11,33,66,93,105,76
ZCTA33016,2,11,26,54,86,113,87
ZCTA33017,,,,,,,1
ZCTA33018,,,,,,1,
ZCTA33018,3,8,27,66,105,119,61
ZCTA33019,,1,2,31,53,69,48
ZCTA33020,3,12,30,96,101,94,51
ZCTA33021,4,9,34,87,122,152,141
ZCTA33023,,21,40,112,148,116,69
ZCTA33023,,1,,1,2,,
ZCTA33024,2,16,45,110,158,146,98
ZCTA33025,8,9,46,81,108,101,63
ZCTA33025,,,,1,,,
ZCTA33026,3,1,17,44,67,78,70
ZCTA33027,3,4,20,77,122,173,203
ZCTA33027,,,,2,1,,
ZCTA33028,1,1,9,23,37,34,20
ZCTA33029,2,5,21,61,57,48,41
ZCTA33030,2,7,27,48,67,52,31
ZCTA33031,,,6,14,21,16,12
ZCTA33032,7,5,26,61,63,68,23
ZCTA33033,5,12,34,63,91,85,57
ZCTA33034,3,,14,35,45,31,16
ZCTA33035,2,1,5,17,24,23,11
ZCTA33036,,1,1,14,14,14,2
ZCTA33037,1,,4,34,48,43,27
ZCTA33040,3,5,29,86,103,62,41
ZCTA33042,,1,6,12,18,21,11
ZCTA33043,,,11,15,19,4,6
ZCTA33045,,,1,,,,
ZCTA33050,,2,7,29,36,23,14
ZCTA33051,,,,,5,5,2
ZCTA33054,6,6,19,53,65,68,29
ZCTA33055,5,8,33,75,134,114,57
ZCTA33056,4,10,30,80,105,93,31
ZCTA33060,5,8,28,85,81,89,72
ZCTA33061,,,,2,,1,1
ZCTA33062,,1,10,57,86,117,106
ZCTA33063,2,8,41,115,205,188,131
ZCTA33064,5,10,42,134,153,109,79
ZCTA33065,3,12,33,77,112,78,86
ZCTA33066,,3,6,29,66,83,114
ZCTA33067,1,3,18,30,50,28,32
ZCTA33068,3,11,29,74,80,47,32
ZCTA33069,1,5,12,61,76,85,90
ZCTA33070,,,,15,18,17,16
ZCTA33071,3,4,19,58,77,65,40
ZCTA33073,1,4,6,34,48,40,23
ZCTA33073,,,1,,,,
ZCTA33074,,,,,,1,
ZCTA33075,,,,1,,,
ZCTA33076,1,7,18,23,47,56,51
ZCTA33084,,,1,,,,
ZCTA33090,,,,,1,,
ZCTA33093,,,,,,1,
ZCTA33097,,,,,1,1,
ZCTA33101,,,,1,1,,
ZCTA33109,,,1,,2,4,1
ZCTA33119,,,,,2,,
ZCTA33122,,,1,3,,1,
ZCTA33125,7,10,33,76,118,161,112
ZCTA33126,2,9,21,67,90,147,107
ZCTA33127,,6,23,49,68,57,34
ZCTA33128,2,1,5,12,18,26,18
ZCTA33129,,,5,12,22,18,25
ZCTA33130,1,9,13,36,47,66,40
ZCTA33131,,2,3,11,17,13,7
ZCTA33132,1,2,1,8,11,11,6
