ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA32641,1,1,1,1,7,11,8
ZCTA32643,,,,1,5,4,4
ZCTA32643,,,,,1,,2
ZCTA32643,,,,1,,,2
ZCTA32644,,,1,,,,
ZCTA32653,,1,2,2,6,5,5
ZCTA32655,,,,,,,1
ZCTA32656,,,,,2,4,
ZCTA32656,,1,,5,9,5,6
ZCTA32658,,,,,,,1
ZCTA32663,,,,,1,,
ZCTA32664,,,,,,1,
ZCTA32666,,,,,,2,
ZCTA32666,,,,,,2,1
ZCTA32666,,1,,,,,
ZCTA32666,,,2,1,2,1,2
ZCTA32667,,,1,2,1,1,1
ZCTA32667,,1,1,,,1,2
ZCTA32668,,,,2,1,5,3
ZCTA32669,,2,,4,5,10,4
ZCTA32680,1,2,2,2,6,6,4
ZCTA32686,1,2,1,3,5,4,1
ZCTA32692,,,,,,1,
ZCTA32693,,,2,2,3,4,2
ZCTA32693,,,1,3,2,1,1
ZCTA32694,,,,2,1,,3
ZCTA32696,,1,5,3,11,9,5
ZCTA32696,,,,,,1,
ZCTA32701,1,1,2,5,6,14,22
ZCTA32702,,,,2,,4,4
ZCTA32702,,,,,1,,
ZCTA32703,3,5,2,13,16,15,14
ZCTA32703,,,,,,2,3
ZCTA32707,1,3,5,7,14,24,19
ZCTA32708,,1,6,10,6,10,19
ZCTA32709,,1,,,,,1
ZCTA32712,2,3,3,8,16,23,5
ZCTA32713,,2,1,7,7,24,25
ZCTA32714,1,,6,3,7,13,6
ZCTA32720,,,,,1,,
ZCTA32720,,1,2,4,21,19,15
ZCTA32721,,,1,,,,
ZCTA32722,,,,,,,1
ZCTA32724,,3,4,15,12,17,14
ZCTA32725,1,4,6,16,16,30,23
ZCTA32726,,2,6,11,15,19,18
ZCTA32730,,,1,2,3,1,3
ZCTA32732,,1,,,2,,3
ZCTA32735,,,1,1,2,5,5
ZCTA32736,,,2,1,3,2,5
ZCTA32738,2,2,3,17,16,26,6
ZCTA32744,,,,,2,,3
ZCTA32746,,4,,6,9,9,15
ZCTA32747,,,,1,,,
ZCTA32750,1,2,1,5,7,15,24
ZCTA32751,,3,2,5,8,6,8
ZCTA32751,,,2,1,4,4,4
ZCTA32754,,1,3,1,3,12,4
ZCTA32756,,,,1,,,
ZCTA32757,,3,1,5,15,24,19
ZCTA32757,,,,1,1,,
ZCTA32759,,,2,,2,5,1
ZCTA32763,,,3,4,8,13,14
ZCTA32764,,,,,2,1,1
ZCTA32765,,1,1,6,14,16,21
ZCTA32766,,,1,2,2,2,4
ZCTA32767,,1,,1,,1,
ZCTA32771,2,4,8,15,20,14,30
ZCTA32772,,,,1,,,
ZCTA32773,,2,5,4,11,6,10
ZCTA32776,,1,3,3,2,2,5
ZCTA32777,,,,,2,,1
ZCTA32778,,2,4,4,12,17,15
ZCTA32779,,2,2,4,10,9,22
ZCTA32780,1,1,4,9,15,25,20
ZCTA32784,,,,1,2,5,2
ZCTA32784,,,,,1,,1
ZCTA32789,1,,,2,5,11,7
ZCTA32792,3,2,1,5,10,9,16
ZCTA32792,,1,1,3,5,9,8
ZCTA32794,,,,,,1,
ZCTA32795,,,,1,,,
ZCTA32796,,,3,4,14,9,6
ZCTA32798,1,,1,1,3,5,1
ZCTA32801,,1,1,,1,6,14
ZCTA32802,,,,,1,,
ZCTA32803,1,1,,2,5,4,7
ZCTA32804,,1,,3,4,6,5
ZCTA32805,2,3,8,14,19,19,10
ZCTA32806,2,4,3,4,9,11,8
ZCTA32807,,3,8,15,12,12,15
ZCTA32808,2,6,11,13,14,21,19
ZCTA32809,3,6,4,12,12,13,4
ZCTA32810,1,3,3,5,18,14,8
ZCTA32811,2,6,10,6,13,21,8
ZCTA32812,2,2,4,6,11,7,10
ZCTA32814,,,,,,1,1
ZCTA32817,,2,5,8,2,10,11
ZCTA32818,4,3,5,19,13,11,10
ZCTA32819,1,1,6,4,11,5,4
ZCTA32820,1,1,,,2,5,2
ZCTA32821,,1,3,2,3,2,3
ZCTA32822,1,5,5,19,23,30,20
ZCTA32824,1,2,7,16,12,20,22
ZCTA32824,,,,,,,1
ZCTA32825,1,6,3,12,23,14,17
ZCTA32826,,1,3,9,3,6,4
ZCTA32827,,,1,1,1,4,1
ZCTA32828,,1,2,6,10,11,15
ZCTA32829,1,1,2,3,6,12,3
ZCTA32831,,1,,1,1,,
ZCTA32832,1,,,4,1,2,5
ZCTA32833,,1,1,2,1,2,2
ZCTA32835,2,2,2,3,6,11,11
ZCTA32836,,,2,3,4,4,1
ZCTA32837,,1,4,14,19,32,13
ZCTA32839,3,8,9,17,13,9,7
ZCTA32901,,,3,8,13,20,22
ZCTA32903,,,,5,3,9,7
ZCTA32904,,1,1,13,17,23,22
ZCTA32905,2,2,2,3,11,15,20
ZCTA32907,1,4,2,9,20,25,14
ZCTA32908,,,4,3,4,6,4
ZCTA32909,2,2,4,5,13,15,18
ZCTA32920,1,1,1,2,2,8,2
