ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA32443,,,4,8,14,13,23
ZCTA32444,1,5,12,16,49,72,101
ZCTA32445,,3,4,1,3,10,7
ZCTA32446,2,7,6,22,36,49,58
ZCTA32447,,,,,,1,1
ZCTA32448,,6,10,19,33,30,30
ZCTA32449,,,,,4,1,1
ZCTA32455,,,2,7,15,15,14
ZCTA32455,,,1,4,10,10,5
ZCTA32456,,1,9,20,28,33,46
ZCTA32459,,1,3,27,13,35,46
ZCTA32460,,1,5,10,12,12,13
ZCTA32461,,,2,1,2,1,4
ZCTA32462,,2,5,6,16,14,21
ZCTA32463,,,,1,1,1,1
ZCTA32464,,2,7,15,18,18,19
ZCTA32464,,,,1,1,3,4
ZCTA32465,,,,,,,1
ZCTA32465,1,3,6,19,24,24,20
ZCTA32466,,2,7,18,13,22,20
ZCTA32501,,4,10,48,36,45,65
ZCTA32502,1,4,1,10,13,8,13
ZCTA32503,,7,21,59,59,93,173
ZCTA32504,2,4,12,23,46,58,111
ZCTA32505,2,17,45,71,85,77,72
ZCTA32506,6,8,22,74,86,78,126
ZCTA32507,,9,27,47,62,76,99
ZCTA32508,1,,,,,,
ZCTA32513,,,,,,1,
ZCTA32514,2,5,27,61,102,111,200
ZCTA32523,,,,,,1,
ZCTA32524,,,1,,,2,
ZCTA32526,3,9,26,63,86,110,147
ZCTA32530,,,,,,3,1
ZCTA32531,,,8,10,17,18,22
ZCTA32533,,6,18,45,48,79,96
ZCTA32534,1,5,14,28,46,51,48
ZCTA32535,,2,7,14,23,42,44
ZCTA32536,2,5,13,30,55,60,58
ZCTA32538,,,,,,,1
ZCTA32539,3,7,18,27,53,73,75
ZCTA32539,,,2,3,3,1,
ZCTA32540,,,1,1,,,
ZCTA32541,2,3,9,12,17,35,52
ZCTA32541,,,,1,1,,
ZCTA32547,4,5,29,50,79,80,114
ZCTA32548,3,4,15,49,52,61,96
ZCTA32550,,,,,,1,2
ZCTA32550,,2,4,9,16,26,34
ZCTA32561,,,1,4,5,1,3
ZCTA32561,1,1,,8,7,18,52
ZCTA32562,,,,2,,,
ZCTA32563,,2,14,30,32,67,85
ZCTA32564,,,4,7,8,9,5
ZCTA32564,,,,3,,,1
ZCTA32565,,1,4,16,18,30,38
ZCTA32566,2,6,15,34,63,66,78
ZCTA32567,,1,2,6,11,11,14
ZCTA32567,,,,3,5,4,10
ZCTA32568,,,1,6,7,14,21
ZCTA32569,,5,3,10,19,24,26
ZCTA32570,1,9,29,52,75,124,119
ZCTA32571,1,5,25,46,61,82,72
ZCTA32577,,,4,9,10,18,14
ZCTA32578,2,4,8,27,58,93,139
ZCTA32578,,,1,,1,3,3
ZCTA32579,1,2,5,12,12,44,58
ZCTA32580,,3,2,5,6,12,14
ZCTA32583,1,4,17,46,69,49,67
ZCTA32601,,2,6,18,20,10,23
ZCTA32603,,,,,1,,2
ZCTA32604,,,,1,,1,
ZCTA32605,1,2,2,25,39,41,74
ZCTA32606,2,2,6,18,23,47,161
ZCTA32607,1,4,6,26,40,29,63
ZCTA32608,2,2,9,36,45,50,79
ZCTA32609,,2,13,30,47,33,40
ZCTA32610,,,,,,,1
ZCTA32614,,,,,1,,
ZCTA32615,1,3,5,12,36,33,45
ZCTA32616,,,,1,1,1,1
ZCTA32617,2,1,2,10,15,22,20
ZCTA32618,,1,3,16,8,13,14
ZCTA32618,,,,3,4,2,5
ZCTA32619,,1,3,8,14,26,13
ZCTA32621,,,5,7,10,24,13
ZCTA32622,,,,1,1,2,3
ZCTA32622,,,,4,3,1,6
ZCTA32625,,,,5,3,4,4
ZCTA32626,,2,8,24,31,36,42
ZCTA32627,,,,,,1,
ZCTA32628,,,1,12,12,16,11
ZCTA32631,,,,1,1,1,
ZCTA32634,,,,,2,1,
ZCTA32639,,,,,3,1,2
ZCTA32640,,4,2,17,11,15,14
ZCTA32640,,3,4,10,14,16,21
ZCTA32641,1,3,15,26,33,31,41
ZCTA32643,,,4,9,16,19,43
ZCTA32643,,1,1,1,1,1,2
ZCTA32643,,,1,,2,4,8
ZCTA32644,,,,1,,1,3
ZCTA32648,,,,,1,3,2
ZCTA32653,1,2,5,13,23,27,47
ZCTA32655,,,,,,1,
ZCTA32656,,,1,2,3,3,7
ZCTA32656,,2,12,20,32,35,71
ZCTA32658,,,,,1,1,
ZCTA32664,,,,1,2,6,5
ZCTA32666,,,1,4,2,2,5
ZCTA32666,,,,2,2,8,8
ZCTA32666,,1,,2,5,8,8
ZCTA32666,,2,4,5,4,17,12
