ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA34105,,,,,,,4,6,5
ZCTA34104,,,1,,2,3,7,9,2
ZCTA34103,,,,,,3,2,6,4
ZCTA34102,,,,,1,3,3,4,2
ZCTA33994,,,,,,,1,,
ZCTA33993,,,1,1,1,6,10,3,4
ZCTA33991,,,,1,2,6,9,8,11
ZCTA33990,,,,1,5,5,16,12,16
ZCTA33983,,,,,1,4,10,5,7
ZCTA33982,,,1,,,2,4,1,5
ZCTA33981,,,,,1,3,4,5,3
ZCTA33980,,,,,,1,6,6,11
ZCTA33976,,,,,1,1,5,1,1
ZCTA33974,,,1,,3,2,9,5,2
ZCTA33973,,,1,,2,3,2,2,1
ZCTA33972,,,,,4,3,14,12,4
ZCTA33971,,,,1,3,7,5,7,2
ZCTA33967,,,,,,5,8,6,2
ZCTA33966,,,1,,,1,2,4,1
ZCTA33960,,,1,,,,,1,
ZCTA33957,,,,,,,1,1,5
ZCTA33956,,,,,,,5,1,
ZCTA33955,,,,1,2,3,5,3,
ZCTA33955,,,,,,,,1,
ZCTA33954,,,,,1,3,2,4,8
ZCTA33953,,,,,1,1,3,2,3
ZCTA33952,,,,,6,15,12,20,22
ZCTA33950,1,,,,2,6,14,20,16
ZCTA33949,,,,,,,,2,
ZCTA33948,,,,1,2,8,17,16,13
ZCTA33947,,,,,,1,2,4,4
ZCTA33946,,,,,1,,,1,1
ZCTA33944,,,,,,1,,1,
ZCTA33936,,,,1,5,12,18,18,10
ZCTA33935,,,,,,,2,,1
ZCTA33935,,,,,2,6,6,4,2
ZCTA33931,,,,,1,2,1,7,7
ZCTA33930,,,,,,1,,,
ZCTA33928,,,1,,3,,4,14,5
ZCTA33922,,,,,,,3,3,3
ZCTA33921,,,,,,,1,,1
ZCTA33920,,,,,,1,2,4,2
ZCTA33919,,,,,1,7,12,14,18
ZCTA33917,,,,,,,1,,
ZCTA33917,,,1,,6,15,22,27,17
ZCTA33916,,,1,2,3,14,6,6,9
ZCTA33914,,,,,,4,15,27,18
ZCTA33913,,1,,,,2,10,4,3
ZCTA33912,,,,,1,2,5,10,11
ZCTA33909,,,,1,,3,10,11,6
ZCTA33908,,,,2,1,1,12,17,20
ZCTA33907,,,1,1,2,7,13,10,14
ZCTA33905,,,1,,3,11,13,14,7
ZCTA33904,,,1,1,5,9,19,17,13
ZCTA33903,,,2,1,2,11,18,24,10
ZCTA33901,,,1,2,,10,19,12,15
ZCTA33898,,,,2,4,7,13,7,4
ZCTA33897,,1,,,1,7,6,7,
ZCTA33896,,,,,,,1,1,
ZCTA33896,,,,,4,1,5,1,
ZCTA33890,,,1,,1,2,4,3,6
ZCTA33884,,,1,,4,7,14,19,10
ZCTA33881,,,,1,9,16,23,26,11
ZCTA33880,1,1,,2,8,22,18,12,4
ZCTA33877,,,,,,1,,,1
ZCTA33876,,,,,1,3,4,,3
ZCTA33875,,,,1,2,4,5,4,2
ZCTA33873,,,,,2,8,12,10,6
ZCTA33872,,,,1,1,1,7,12,12
ZCTA33870,,,,,6,12,17,24,17
ZCTA33868,,,1,,4,4,5,4,
ZCTA33865,,,,,1,,,,
ZCTA33863,,,,,,,,,1
ZCTA33860,,,,,5,4,14,9,7
ZCTA33859,,,,1,2,2,7,8,3
ZCTA33858,,,,,,,,,1
ZCTA33857,,,,,1,,2,2,
ZCTA33855,,,,,,1,2,,1
ZCTA33854,,,,,,,1,,
ZCTA33853,,,,,4,5,9,9,4
ZCTA33852,,,1,2,3,5,12,16,8
ZCTA33851,,,,,,,1,1,
ZCTA33850,,,,,2,5,3,4,2
ZCTA33848,,,,,1,2,2,,
ZCTA33846,,,,,,2,2,,
ZCTA33844,,,,2,4,12,17,16,8
ZCTA33843,,,,,2,9,4,10,4
ZCTA33841,,,,,1,6,10,3,
ZCTA33839,,,,1,,1,1,1,
ZCTA33838,,,,,2,,3,2,1
ZCTA33837,,,,2,2,2,7,9,6
ZCTA33835,,,,,1,,1,,
ZCTA33834,,,,,1,3,1,1,1
ZCTA33830,,1,1,2,7,18,15,11,4
ZCTA33827,,,,,1,2,2,1,1
ZCTA33825,,,1,4,2,10,14,12,13
ZCTA33825,,,,,1,,,,
ZCTA33823,,,,,6,12,17,13,7
ZCTA33815,,,,1,4,7,10,3,1
ZCTA33813,,,1,,2,8,12,9,11
ZCTA33812,,,1,,1,3,2,5,2
ZCTA33811,,,,1,1,4,8,7,5
ZCTA33810,,,1,1,7,14,19,17,9
ZCTA33809,,,,,2,6,16,9,10
